Index,Collisions,Hash
1249,41,W347MN
1250,68,B877CU
1251,169,I341EU
1252,136,Q592FG
1253,20,D825DQ
1254,41,A435FI
1255,146,K044CK
1256,73,J328MK
1257,219,Z677KD
1258,39,F478CV
1259,70,D426BF
1260,152,D084EH
1261,150,P583BL
1262,186,F226PS
1263,15,J982QX
1264,33,I463IC
1265,149,M175LY
1266,79,J019QY
1267,85,N751WP
1268,186,C369YS
1269,42,U883KV
1270,43,J132TG
1271,320,C078FR
1272,82,Q842RB
1273,239,K006HT
1274,211,H808IG
1275,71,P702FV
1276,201,X770FC
1277,361,W161MC
1278,27,X587SB
1279,74,N723SD
1280,216,L272IL
1281,131,M914AS
1282,30,G203DY
1283,43,T357UC
1284,168,A190AV
1285,108,A979SC
1286,232,U444PH
1287,14,Q285DO
1288,67,I133DE
1289,170,F671CG
1290,156,J758EL
1291,164,T606EO
1292,1,O728CA
1293,37,B411PK
1294,112,H768IZ
1295,119,D045ZX
1296,81,O258OV
1297,162,A685VX
1298,30,Z872FY
1299,66,T603NA
1300,320,O034OF
1301,84,P756CO
1302,228,R112RF
1303,226,M947CE
1304,101,T638PA
1305,220,G426ZC
1306,397,L189ND
1307,17,S349XG
1308,83,E954QE
1309,208,M149JH
1310,163,K280BY
1311,25,Z380IQ
1312,33,Y062RI
1313,148,Q481CB
1314,112,B783CZ
1315,238,U716QK
1316,23,W775GC
1317,59,L804AA
1318,156,C502IL
1319,192,E023TR
1320,177,F757GU
1321,10,L628XT
1322,12,G052AU
1323,113,T782ZB
1324,78,Z629MH
1325,76,V385JT
1326,157,U205OX
1327,16,O064ZX
1328,68,G053FX
1329,324,M691CL
1330,82,Q705MK
1331,209,G662TF
1332,203,Q821HF
1333,73,S043SJ
1334,238,B708ZF
1335,414,N170RI
1336,17,Z388NH
1337,67,L902WE
1338,194,X438DC
1339,173,C198UG
1340,40,X835AB
1341,22,A638EH
1342,126,N442GE
1343,105,J237LP
1344,239,S798EK
1345,31,P992BO
1346,47,N025BD
1347,156,C121GR
1348,173,C086VJ
1349,190,S265OG
1350,17,N379QW
1351,18,A770JL
1352,71,B175ZY
1353,79,V508UI
1354,121,L356UV
1355,176,W718KR
1356,8,D902KP
1357,51,W853FA
1358,346,R090LA
1359,110,P265OJ
1360,238,N739GH
1361,251,F172OL
1362,76,K664FB
1363,224,E776DU
1364,443,R231SG
1365,17,Z951YB
1366,60,W044CR
1367,163,B481TL
1368,166,K537AW
1369,51,D069CM
1370,30,I930YP
1371,129,K992BD
1372,117,J823OM
1373,222,V907HS
1374,32,E600UV
1375,88,D106KF
1376,168,E154DN
1377,161,I393PJ
1378,175,A756WM
1379,22,X673JX
1380,40,N944DC
1381,76,X593RH
1382,55,J862RV
1383,104,J884TT
1384,194,U773IV
1385,23,A658NI
1386,50,C820VL
1387,357,J616KL
1388,75,Z456LB
1389,255,H350JW
1390,229,E462GT
1391,87,J488JQ
1392,219,F175MS
1393,451,A574PR
1394,35,E804ZZ
1395,81,K878IE
1396,184,Q992GD
1397,162,Q290HO
1398,43,I314TH
1399,53,U748FQ
1400,150,C603FT
1401,91,F788TC
1402,194,R244HY
1403,28,P436OK
1404,91,E145FH
1405,156,M101HK
1406,186,R373LH
1407,170,H782MR
1408,12,S950CW
1409,52,I541IK
1410,74,S262TS
1411,51,Q986NM
1412,51,K073MB
1413,202,V391BD
1414,35,H709NF
1415,78,J547HN
1416,314,X016NB
1417,69,T902CV
1418,231,H087HS
1419,305,E083ON
1420,79,G495WJ
1421,221,Q825LH
1422,445,C805XL
1423,15,U274QS
1424,85,J255AZ
1425,185,Z444FE
1426,147,Z315DM
1427,30,G207LR
1428,53,I402ED
1429,155,E278IH
1430,103,Z600IL
1431,187,Q654CP
1432,18,V861EN
1433,81,R403AD
